Secondary Subject,Level,Ethnicity,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Agricultural and Horticultural Science,Level 3,Middle Eastern/Latin American/African,2020,6,7,0.005,3,0.003,17,0.118,0.294,0.412,0.176,2,5,7,3,Small Cohort
Agricultural and Horticultural Science,Level 3,Middle Eastern/Latin American/African,2021,6,6,0.005,3,0.003,14,0.286,0.5,0.143,0.071,4,7,2,1,Small Cohort
Agricultural and Horticultural Science,Level 3,Middle Eastern/Latin American/African,2022,9,11,0.008,5,0.005,26,0.308,0.346,0.192,0.154,8,9,5,4,Small Cohort
Agricultural and Horticultural Science,Level 3,Middle Eastern/Latin American/African,2023,5,7,0.005,3,0.003,15,0.267,0.533,0,0.2,4,8,0,3,Small Cohort
Agricultural and Horticultural Science,Level 3,Middle Eastern/Latin American/African,2024,12,17,0.011,6,0.005,37,0.297,0.432,0.189,0.081,11,16,7,3,
Agricultural and Horticultural Science,Level 3,Pacific Peoples,2015,14,58,0.01,22,0.005,129,0.279,0.527,0.178,0.016,36,68,23,2,
Agricultural and Horticultural Science,Level 3,Pacific Peoples,2016,17,65,0.011,19,0.004,138,0.232,0.449,0.254,0.065,32,62,35,9,
Agricultural and Horticultural Science,Level 3,Pacific Peoples,2017,17,50,0.008,19,0.004,116,0.328,0.44,0.19,0.043,38,51,22,5,
Agricultural and Horticultural Science,Level 3,Pacific Peoples,2018,18,51,0.008,14,0.003,100,0.38,0.49,0.12,0.01,38,49,12,1,
Agricultural and Horticultural Science,Level 3,Pacific Peoples,2019,14,56,0.009,12,0.003,112,0.339,0.58,0.071,0.009,38,65,8,1,
Agricultural and Horticultural Science,Level 3,Pacific Peoples,2020,20,46,0.007,16,0.004,101,0.386,0.436,0.109,0.069,39,44,11,7,
Agricultural and Horticultural Science,Level 3,Pacific Peoples,2021,17,53,0.008,25,0.006,117,0.274,0.419,0.188,0.12,32,49,22,14,
Agricultural and Horticultural Science,Level 3,Pacific Peoples,2022,19,46,0.007,15,0.004,90,0.3,0.544,0.044,0.111,27,49,4,10,
Agricultural and Horticultural Science,Level 3,Pacific Peoples,2023,18,55,0.008,17,0.004,101,0.257,0.366,0.198,0.178,26,37,20,18,
Agricultural and Horticultural Science,Level 3,Pacific Peoples,2024,22,96,0.013,34,0.007,217,0.401,0.424,0.124,0.051,87,92,27,11,
Art History,Level 1,Asian,2015,25,183,0.018,0,0,186,0.102,0.317,0.242,0.339,19,59,45,63,
Art History,Level 1,Asian,2016,33,235,0.022,0,0,240,0.142,0.283,0.254,0.321,34,68,61,77,
Art History,Level 1,Asian,2017,35,268,0.025,0,0,279,0.09,0.265,0.29,0.355,25,74,81,99,
Art History,Level 1,Asian,2018,37,264,0.024,0,0,277,0.116,0.296,0.227,0.361,32,82,63,100,
Art History,Level 1,Asian,2019,38,363,0.027,0,0,377,0.09,0.233,0.316,0.361,34,88,119,136,
Art History,Level 1,Asian,2020,33,251,0.017,5,0.001,290,0.097,0.266,0.262,0.376,28,77,76,109,
Art History,Level 1,Asian,2021,26,152,0.011,0,0,162,0.086,0.284,0.278,0.352,14,46,45,57,
Art History,Level 1,Asian,2022,20,142,0.01,1,0,197,0.112,0.274,0.335,0.279,22,54,66,55,
Art History,Level 1,Asian,2023,21,100,0.006,0,0,115,0.139,0.33,0.287,0.243,16,38,33,28,
Art History,Level 1,European,2015,37,811,0.018,2,0,869,0.167,0.346,0.22,0.267,145,301,191,232,
