Secondary Subject,Level,Region,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Accounting,Level 1,Canterbury,2023,27,1061,0.1,340,0.051,2547,0.128,0.232,0.284,0.356,326,590,724,907,
Accounting,Level 1,Gisborne,2015,4,69,0.079,34,0.052,198,0.202,0.323,0.192,0.283,40,64,38,56,
Accounting,Level 1,Gisborne,2016,3,75,0.082,42,0.066,245,0.151,0.314,0.241,0.294,37,77,59,72,
Accounting,Level 1,Gisborne,2017,2,74,0.089,35,0.056,244,0.393,0.316,0.168,0.123,96,77,41,30,
Accounting,Level 1,Gisborne,2018,1,18,0.022,14,0.024,72,0.153,0.444,0.097,0.306,11,32,7,22,
Accounting,Level 1,Gisborne,2019,3,38,0.04,19,0.033,113,0.106,0.434,0.257,0.204,12,49,29,23,
Accounting,Level 1,Gisborne,2020,2,39,0.045,15,0.028,100,0.21,0.32,0.31,0.16,21,32,31,16,
Accounting,Level 1,Gisborne,2021,3,47,0.048,14,0.023,105,0.305,0.381,0.2,0.114,32,40,21,12,
Accounting,Level 1,Gisborne,2022,2,31,0.032,12,0.02,68,0.147,0.309,0.279,0.265,10,21,19,18,
Accounting,Level 1,Gisborne,2023,2,53,0.05,7,0.012,98,0.112,0.531,0.184,0.173,11,52,18,17,
Accounting,Level 1,Hawke's Bay,2015,14,358,0.118,204,0.083,1214,0.126,0.294,0.338,0.242,153,357,410,294,
Accounting,Level 1,Hawke's Bay,2016,13,381,0.128,197,0.082,1213,0.111,0.284,0.307,0.298,135,345,372,361,
Accounting,Level 1,Hawke's Bay,2017,14,344,0.117,164,0.068,956,0.098,0.248,0.326,0.327,94,237,312,313,
Accounting,Level 1,Hawke's Bay,2018,14,340,0.123,156,0.07,953,0.085,0.241,0.339,0.335,81,230,323,319,
Accounting,Level 1,Hawke's Bay,2019,13,300,0.09,180,0.077,964,0.129,0.223,0.337,0.311,124,215,325,300,
Accounting,Level 1,Hawke's Bay,2020,11,249,0.072,137,0.06,807,0.121,0.226,0.307,0.346,98,182,248,279,
Accounting,Level 1,Hawke's Bay,2021,12,263,0.074,168,0.078,889,0.123,0.232,0.336,0.309,109,206,299,275,
Accounting,Level 1,Hawke's Bay,2022,10,267,0.07,142,0.063,815,0.106,0.244,0.321,0.329,86,199,262,268,
Accounting,Level 1,Hawke's Bay,2023,12,286,0.082,121,0.053,794,0.159,0.247,0.315,0.28,126,196,250,222,
Accounting,Level 1,Manawatu-Whanganui,2015,15,416,0.106,279,0.095,1500,0.177,0.254,0.291,0.278,266,381,436,417,
Accounting,Level 1,Manawatu-Whanganui,2016,13,411,0.105,320,0.102,1679,0.151,0.285,0.297,0.267,253,479,498,449,
Accounting,Level 1,Manawatu-Whanganui,2017,15,507,0.138,273,0.09,1629,0.163,0.27,0.311,0.256,266,440,506,417,
Accounting,Level 1,Manawatu-Whanganui,2018,15,394,0.115,172,0.062,1150,0.16,0.233,0.31,0.297,184,268,356,342,
Accounting,Level 1,Manawatu-Whanganui,2019,15,294,0.073,117,0.045,795,0.17,0.281,0.306,0.244,135,223,243,194,
Accounting,Level 1,Manawatu-Whanganui,2020,15,410,0.093,129,0.053,989,0.178,0.233,0.305,0.284,176,230,302,281,
Accounting,Level 1,Manawatu-Whanganui,2021,13,367,0.079,111,0.044,887,0.206,0.253,0.327,0.214,183,224,290,190,
Accounting,Level 1,Manawatu-Whanganui,2022,13,357,0.075,94,0.041,805,0.236,0.275,0.263,0.226,190,221,212,182,
Accounting,Level 1,Manawatu-Whanganui,2023,14,363,0.077,79,0.031,755,0.142,0.285,0.301,0.273,107,215,227,206,
Accounting,Level 1,Marlborough,2015,2,137,0.241,18,0.039,313,0.323,0.22,0.22,0.236,101,69,69,74,
Accounting,Level 1,Marlborough,2016,2,66,0.128,17,0.04,180,0.356,0.206,0.183,0.256,64,37,33,46,
Accounting,Level 1,Marlborough,2017,3,43,0.088,11,0.028,135,0.237,0.111,0.311,0.341,32,15,42,46,
Accounting,Level 1,Marlborough,2018,2,53,0.099,31,0.07,169,0.249,0.154,0.337,0.26,42,26,57,44,
Accounting,Level 1,Marlborough,2019,2,42,0.076,36,0.077,166,0.337,0.253,0.175,0.235,56,42,29,39,
Accounting,Level 1,Marlborough,2020,1,25,0.051,13,0.033,81,0.235,0.148,0.259,0.358,19,12,21,29,
Accounting,Level 1,Marlborough,2021,2,44,0.069,14,0.03,113,0.301,0.186,0.204,0.31,34,21,23,35,
Accounting,Level 1,Marlborough,2022,1,26,0.049,10,0.024,76,0.395,0.368,0.158,0.079,30,28,12,6,
Accounting,Level 1,Marlborough,2023,2,5,0.008,0,0,6,0.667,0.167,0.167,0,4,1,1,0,Small Cohort
Accounting,Level 1,Nelson,2015,3,166,0.153,42,0.048,394,0.162,0.317,0.239,0.282,64,125,94,111,
Accounting,Level 1,Nelson,2016,3,175,0.164,66,0.077,500,0.166,0.334,0.214,0.286,83,167,107,143,
Accounting,Level 1,Nelson,2017,3,144,0.157,89,0.115,519,0.16,0.26,0.243,0.337,83,135,126,175,
Accounting,Level 1,Nelson,2018,3,107,0.112,54,0.07,340,0.174,0.241,0.265,0.321,59,82,90,109,
Accounting,Level 1,Nelson,2019,3,162,0.153,86,0.11,521,0.167,0.336,0.213,0.284,87,175,111,148,
