Secondary Subject,Level,School Equity Index Group,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Accounting,Level 1,More,2022,28,789,0.05,53,0.007,1226,0.253,0.374,0.23,0.143,310,459,282,175,
Accounting,Level 1,More,2023,25,655,0.035,28,0.003,921,0.262,0.414,0.202,0.123,241,381,186,113,
Accounting,Level 2,Fewer,2019,59,1291,0.064,942,0.061,5115,0.148,0.256,0.262,0.333,759,1309,1342,1705,
Accounting,Level 2,Fewer,2020,59,1290,0.064,875,0.057,4877,0.132,0.244,0.256,0.368,645,1190,1249,1793,
Accounting,Level 2,Fewer,2021,59,1289,0.067,863,0.058,4838,0.1,0.251,0.275,0.374,483,1216,1329,1810,
Accounting,Level 2,Fewer,2022,60,1194,0.065,748,0.052,4373,0.124,0.228,0.269,0.378,544,998,1178,1653,
Accounting,Level 2,Fewer,2023,59,1317,0.067,845,0.055,4883,0.133,0.252,0.282,0.333,651,1229,1375,1628,
Accounting,Level 2,Fewer,2024,56,1286,0.062,910,0.056,4897,0.138,0.257,0.271,0.334,676,1258,1328,1635,
Accounting,Level 2,Moderate,2019,111,1739,0.048,1081,0.043,6323,0.185,0.261,0.277,0.278,1167,1648,1749,1759,
Accounting,Level 2,Moderate,2020,105,1813,0.051,941,0.038,5882,0.153,0.255,0.278,0.315,899,1500,1633,1850,
Accounting,Level 2,Moderate,2021,106,1942,0.056,901,0.038,6102,0.143,0.246,0.297,0.314,874,1504,1811,1913,
Accounting,Level 2,Moderate,2022,96,1586,0.047,695,0.03,4891,0.18,0.258,0.269,0.292,882,1263,1318,1428,
Accounting,Level 2,Moderate,2023,97,1683,0.047,813,0.033,5397,0.178,0.266,0.27,0.286,962,1435,1455,1545,
Accounting,Level 2,Moderate,2024,92,1782,0.045,861,0.032,5609,0.168,0.273,0.268,0.291,942,1531,1503,1633,
Accounting,Level 2,More,2019,23,269,0.024,99,0.016,726,0.329,0.387,0.168,0.116,239,281,122,84,
Accounting,Level 2,More,2020,19,185,0.017,64,0.012,464,0.241,0.345,0.25,0.164,112,160,116,76,
Accounting,Level 2,More,2021,17,207,0.019,66,0.012,550,0.18,0.369,0.244,0.207,99,203,134,114,
Accounting,Level 2,More,2022,16,194,0.018,74,0.014,568,0.275,0.34,0.222,0.164,156,193,126,93,
Accounting,Level 2,More,2023,18,210,0.018,77,0.013,627,0.285,0.284,0.241,0.19,179,178,151,119,
Accounting,Level 2,More,2024,15,253,0.017,55,0.008,647,0.405,0.312,0.168,0.114,262,202,109,74,
Accounting,Level 3,Fewer,2019,57,1045,0.061,737,0.057,3814,0.126,0.294,0.292,0.289,480,1121,1112,1101,
Accounting,Level 3,Fewer,2020,57,995,0.059,607,0.046,3472,0.124,0.285,0.268,0.323,430,988,932,1122,
Accounting,Level 3,Fewer,2021,57,1039,0.061,655,0.049,3607,0.071,0.272,0.291,0.366,257,980,1051,1319,
Accounting,Level 3,Fewer,2022,57,940,0.056,558,0.043,3262,0.122,0.298,0.275,0.305,397,973,896,996,
Accounting,Level 3,Fewer,2023,53,895,0.055,625,0.049,3251,0.12,0.26,0.276,0.344,390,846,898,1117,
Accounting,Level 3,Fewer,2024,56,968,0.056,648,0.047,3439,0.128,0.28,0.279,0.313,440,963,960,1076,
Accounting,Level 3,Moderate,2019,104,1409,0.054,972,0.051,5042,0.147,0.29,0.286,0.276,743,1461,1444,1394,
Accounting,Level 3,Moderate,2020,93,1182,0.045,603,0.033,3850,0.138,0.285,0.278,0.299,532,1096,1071,1151,
Accounting,Level 3,Moderate,2021,97,1252,0.048,746,0.039,4148,0.133,0.296,0.282,0.289,553,1227,1169,1199,
Accounting,Level 3,Moderate,2022,92,1314,0.051,694,0.039,4178,0.142,0.288,0.288,0.282,592,1203,1204,1179,
Accounting,Level 3,Moderate,2023,85,1216,0.048,659,0.036,3812,0.172,0.305,0.268,0.256,655,1161,1021,975,
Accounting,Level 3,Moderate,2024,75,1194,0.043,686,0.034,3853,0.171,0.283,0.276,0.271,658,1089,1062,1044,
Accounting,Level 3,More,2019,22,178,0.023,67,0.015,500,0.276,0.356,0.184,0.184,138,178,92,92,
Accounting,Level 3,More,2020,19,171,0.023,49,0.012,486,0.261,0.42,0.193,0.126,127,204,94,61,
Accounting,Level 3,More,2021,16,171,0.023,34,0.008,453,0.188,0.406,0.236,0.17,85,184,107,77,
Accounting,Level 3,More,2022,15,124,0.017,40,0.01,345,0.281,0.388,0.22,0.11,97,134,76,38,
Accounting,Level 3,More,2023,20,193,0.026,70,0.016,570,0.304,0.358,0.218,0.121,173,204,124,69,
Accounting,Level 3,More,2024,18,179,0.021,89,0.018,582,0.301,0.32,0.235,0.144,175,186,137,84,
Agribusiness,Level 2,Fewer,2019,13,234,0.012,62,0.004,490,0.106,0.273,0.347,0.273,52,134,170,134,
Agribusiness,Level 2,Fewer,2020,14,467,0.023,67,0.004,735,0.131,0.32,0.31,0.239,96,235,228,176,
Agribusiness,Level 2,Fewer,2021,14,520,0.027,68,0.005,779,0.123,0.3,0.282,0.294,96,234,220,229,
