Secondary Subject,Level,Gender,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Chemistry,Level 2,Female,2023,332,8849,0.248,5527,0.219,31561,0.156,0.302,0.235,0.307,4920,9537,7403,9701,
Chemistry,Level 2,Female,2024,331,9810,0.248,6178,0.226,35137,0.156,0.306,0.233,0.305,5497,10744,8184,10712,
Chemistry,Level 2,Male,2015,316,8247,0.233,5755,0.228,33541,0.205,0.276,0.228,0.291,6889,9265,7637,9750,
Chemistry,Level 2,Male,2016,320,8414,0.234,5399,0.212,31968,0.189,0.275,0.232,0.305,6045,8781,7404,9738,
Chemistry,Level 2,Male,2017,314,9071,0.249,5927,0.234,34307,0.194,0.267,0.224,0.315,6647,9169,7685,10806,
Chemistry,Level 2,Male,2018,316,8534,0.24,5201,0.214,30589,0.172,0.271,0.222,0.335,5258,8290,6796,10245,
Chemistry,Level 2,Male,2019,314,8438,0.236,5061,0.21,29975,0.18,0.259,0.226,0.335,5389,7768,6763,10055,
Chemistry,Level 2,Male,2020,308,7126,0.199,4232,0.179,24742,0.189,0.299,0.24,0.271,4679,7400,5950,6713,
Chemistry,Level 2,Male,2021,301,7042,0.201,4483,0.196,25402,0.143,0.325,0.232,0.301,3633,8243,5882,7644,
Chemistry,Level 2,Male,2022,304,6502,0.191,4053,0.183,23372,0.177,0.333,0.223,0.267,4138,7787,5210,6237,
Chemistry,Level 2,Male,2023,309,6905,0.191,4360,0.181,24854,0.186,0.342,0.22,0.252,4634,8507,5456,6257,
Chemistry,Level 2,Male,2024,310,7316,0.185,4641,0.178,26306,0.17,0.339,0.235,0.256,4472,8918,6172,6744,
Chemistry,Level 3,Female,2015,316,5845,0.225,4834,0.23,24883,0.16,0.288,0.241,0.31,3979,7177,6001,7726,
Chemistry,Level 3,Female,2016,322,5929,0.225,4570,0.217,23981,0.151,0.254,0.261,0.334,3631,6089,6254,8007,
Chemistry,Level 3,Female,2017,318,6437,0.231,4921,0.225,25956,0.137,0.269,0.251,0.343,3568,6986,6504,8898,
Chemistry,Level 3,Female,2018,321,6770,0.24,5090,0.234,26708,0.146,0.259,0.255,0.34,3899,6913,6805,9091,
Chemistry,Level 3,Female,2019,321,6471,0.228,4724,0.222,24962,0.125,0.255,0.274,0.346,3127,6375,6832,8628,
Chemistry,Level 3,Female,2020,320,6280,0.221,4116,0.197,22865,0.132,0.251,0.259,0.359,3014,5728,5913,8210,
Chemistry,Level 3,Female,2021,327,6133,0.214,4129,0.193,22705,0.091,0.24,0.283,0.386,2070,5448,6421,8766,
Chemistry,Level 3,Female,2022,311,5954,0.212,3780,0.188,21415,0.138,0.283,0.255,0.325,2951,6050,5458,6956,
Chemistry,Level 3,Female,2023,322,5601,0.206,3961,0.196,21076,0.131,0.29,0.259,0.32,2756,6118,5464,6738,
Chemistry,Level 3,Female,2024,317,6253,0.209,4375,0.199,23285,0.139,0.282,0.261,0.319,3231,6561,6073,7420,
Chemistry,Level 3,Male,2015,296,4553,0.19,3825,0.211,19817,0.192,0.294,0.241,0.272,3811,5832,4781,5393,
Chemistry,Level 3,Male,2016,304,4692,0.193,3657,0.202,19237,0.185,0.269,0.25,0.297,3553,5173,4802,5709,
Chemistry,Level 3,Male,2017,300,4703,0.187,3598,0.194,19060,0.161,0.279,0.251,0.309,3060,5324,4778,5898,
Chemistry,Level 3,Male,2018,295,5052,0.201,3780,0.204,19926,0.169,0.275,0.245,0.311,3370,5470,4882,6204,
Chemistry,Level 3,Male,2019,298,4829,0.189,3428,0.19,18410,0.14,0.271,0.267,0.322,2574,4980,4921,5935,
Chemistry,Level 3,Male,2020,286,4695,0.181,3187,0.179,17373,0.147,0.258,0.261,0.334,2558,4476,4543,5796,
Chemistry,Level 3,Male,2021,297,4470,0.173,3124,0.174,16881,0.11,0.267,0.288,0.335,1859,4501,4870,5651,
Chemistry,Level 3,Male,2022,284,4609,0.181,3070,0.178,16893,0.145,0.292,0.267,0.295,2453,4940,4516,4984,
Chemistry,Level 3,Male,2023,292,4327,0.173,3077,0.176,16234,0.137,0.308,0.262,0.293,2223,4995,4253,4763,
Chemistry,Level 3,Male,2024,291,4747,0.17,3324,0.17,17594,0.141,0.3,0.267,0.292,2478,5275,4706,5135,
Chemistry and Biology,Level 1,Female,2024,275,15238,0.461,1411,0.067,26448,0.226,0.388,0.234,0.152,5972,10272,6177,4027,
Chemistry and Biology,Level 1,Male,2024,271,14822,0.438,1337,0.061,25085,0.28,0.426,0.188,0.106,7024,10684,4724,2653,
Chinese,Level 1,Female,2015,49,368,0.01,294,0.01,1375,0.065,0.13,0.244,0.56,90,179,336,770,
Chinese,Level 1,Female,2016,71,425,0.012,321,0.011,1566,0.044,0.11,0.266,0.58,69,172,417,908,
Chinese,Level 1,Female,2017,71,481,0.014,342,0.012,1724,0.066,0.124,0.27,0.541,113,213,465,933,
Chinese,Level 1,Female,2018,67,499,0.015,353,0.013,1748,0.057,0.123,0.264,0.556,100,215,461,972,
