"Year Level","Qualification","Ethnicity","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"12","NCEA Level 2","Asian","2022","1","0.76","0.736","6296","6096","8279",""
"12","NCEA Level 2","Asian","2023","1","0.707","0.685","6938","6720","9815",""
"12","NCEA Level 2","Asian","2024","1","0.701","0.687","8193","8032","11689",""
"12","NCEA Level 2","Middle Eastern/Latin American/African","2015","1","0.742","0.731","772","761","1041",""
"12","NCEA Level 2","Middle Eastern/Latin American/African","2016","1","0.76","0.746","831","816","1094",""
"12","NCEA Level 2","Middle Eastern/Latin American/African","2017","1","0.765","0.753","884","871","1156",""
"12","NCEA Level 2","Middle Eastern/Latin American/African","2018","1","0.784","0.767","863","845","1101",""
"12","NCEA Level 2","Middle Eastern/Latin American/African","2019","1","0.755","0.745","865","853","1145",""
"12","NCEA Level 2","Middle Eastern/Latin American/African","2020","1","0.776","0.767","953","942","1228",""
"12","NCEA Level 2","Middle Eastern/Latin American/African","2021","1","0.78","0.765","1041","1020","1334",""
"12","NCEA Level 2","Middle Eastern/Latin American/African","2022","1","0.733","0.713","1008","981","1376",""
"12","NCEA Level 2","Middle Eastern/Latin American/African","2023","1","0.694","0.677","1045","1020","1506",""
"12","NCEA Level 2","Middle Eastern/Latin American/African","2024","1","0.695","0.682","1142","1120","1643",""
"12","NCEA Level 2","European","2015","1","0.806","0.791","28621","28073","35501",""
"12","NCEA Level 2","European","2016","1","0.822","0.804","29991","29311","36470",""
"12","NCEA Level 2","European","2017","1","0.823","0.806","29938","29298","36358",""
"12","NCEA Level 2","European","2018","1","0.815","0.796","29088","28407","35685",""
"12","NCEA Level 2","European","2019","1","0.811","0.795","28696","28146","35383",""
"12","NCEA Level 2","European","2020","1","0.832","0.815","30272","29666","36378",""
"12","NCEA Level 2","European","2021","1","0.812","0.791","29469","28697","36301",""
"12","NCEA Level 2","European","2022","1","0.794","0.77","29095","28222","36658",""
"12","NCEA Level 2","European","2023","1","0.78","0.757","29741","28855","38113",""
"12","NCEA Level 2","European","2024","1","0.786","0.768","30986","30263","39398",""
"12","NCEA Level 3","Maori","2015","0","0.015","0.013","177","158","11895",""
"12","NCEA Level 3","Maori","2016","0","0.014","0.012","179","155","12567",""
"12","NCEA Level 3","Maori","2017","0","0.017","0.015","218","188","12916",""
"12","NCEA Level 3","Maori","2018","0","0.015","0.01","186","123","12183",""
"12","NCEA Level 3","Maori","2019","0","0.016","0.011","194","135","12044",""
"12","NCEA Level 3","Maori","2020","0","0.022","0.017","278","217","12457",""
"12","NCEA Level 3","Maori","2021","0","0.024","0.018","309","232","12953",""
"12","NCEA Level 3","Maori","2022","0","0.024","0.018","320","245","13312",""
"12","NCEA Level 3","Maori","2023","0","0.027","0.023","368","309","13607",""
"12","NCEA Level 3","Maori","2024","0","0.028","0.022","396","314","14324",""
"12","NCEA Level 3","Pacific Peoples","2015","0","0.005","0.004","29","28","6383",""
"12","NCEA Level 3","Pacific Peoples","2016","0","0.004","0.004","26","24","6683",""
"12","NCEA Level 3","Pacific Peoples","2017","0","0.004","0.003","26","23","6894",""
"12","NCEA Level 3","Pacific Peoples","2018","0","0.002","0.002","16","14","6874",""
"12","NCEA Level 3","Pacific Peoples","2019","0","0.004","0.003","26","21","6770",""
"12","NCEA Level 3","Pacific Peoples","2020","0","0.006","0.006","41","41","6954",""
"12","NCEA Level 3","Pacific Peoples","2021","0","0.008","0.007","54","48","7137",""
"12","NCEA Level 3","Pacific Peoples","2022","0","0.007","0.006","51","47","7296",""
"12","NCEA Level 3","Pacific Peoples","2023","0","0.007","0.006","51","44","7559",""
"12","NCEA Level 3","Pacific Peoples","2024","0","0.009","0.008","75","67","8212",""
"12","NCEA Level 3","Asian","2015","0","0.01","0.01","64","62","6449",""
"12","NCEA Level 3","Asian","2016","0","0.012","0.011","80","79","6921",""
"12","NCEA Level 3","Asian","2017","0","0.012","0.012","84","82","7086",""
"12","NCEA Level 3","Asian","2018","0","0.012","0.012","83","80","6847",""
"12","NCEA Level 3","Asian","2019","0","0.013","0.013","101","101","7553",""
"12","NCEA Level 3","Asian","2020","0","0.02","0.02","153","152","7721",""
"12","NCEA Level 3","Asian","2021","0","0.024","0.023","196","187","8191",""
"12","NCEA Level 3","Asian","2022","0","0.021","0.02","170","165","8279",""
"12","NCEA Level 3","Asian","2023","0","0.014","0.013","134","126","9815",""
"12","NCEA Level 3","Asian","2024","0","0.013","0.012","147","143","11689",""
"12","NCEA Level 3","Middle Eastern/Latin American/African","2015","0","0.006","0.006","6","6","1041",""
"12","NCEA Level 3","Middle Eastern/Latin American/African","2016","0","0.003","0.003","3","3","1094",""
"12","NCEA Level 3","Middle Eastern/Latin American/African","2017","0","0.006","0.006","7","7","1156",""
"12","NCEA Level 3","Middle Eastern/Latin American/African","2018","0","0.005","0.005","6","6","1101",""
"12","NCEA Level 3","Middle Eastern/Latin American/African","2019","0","0.004","0.004","5","5","1145",""
"12","NCEA Level 3","Middle Eastern/Latin American/African","2020","0","0.005","0.005","6","6","1228",""
"12","NCEA Level 3","Middle Eastern/Latin American/African","2021","0","0.01","0.01","14","14","1334",""
"12","NCEA Level 3","Middle Eastern/Latin American/African","2022","0","0.011","0.011","15","15","1376",""
"12","NCEA Level 3","Middle Eastern/Latin American/African","2023","0","0.009","0.009","13","13","1506",""
"12","NCEA Level 3","Middle Eastern/Latin American/African","2024","0","0.011","0.01","18","17","1643",""
"12","NCEA Level 3","European","2015","0","0.008","0.008","282","275","35501",""
"12","NCEA Level 3","European","2016","0","0.009","0.009","341","329","36470",""
"12","NCEA Level 3","European","2017","0","0.008","0.007","278","272","36358",""
"12","NCEA Level 3","European","2018","0","0.009","0.008","311","300","35685",""
"12","NCEA Level 3","European","2019","0","0.008","0.008","289","276","35383",""
"12","NCEA Level 3","European","2020","0","0.012","0.012","434","420","36378",""
"12","NCEA Level 3","European","2021","0","0.013","0.012","464","440","36301",""
"12","NCEA Level 3","European","2022","0","0.015","0.014","543","525","36658",""
"12","NCEA Level 3","European","2023","0","0.013","0.012","494","469","38113",""
"12","NCEA Level 3","European","2024","0","0.012","0.011","465","432","39398",""
"12","University Entrance","Maori","2015","0","0.002","0.002","23","22","11895",""
"12","University Entrance","Maori","2016","0","0.004","0.004","49","44","12567",""
"12","University Entrance","Maori","2017","0","0.002","0.002","31","27","12916",""
"12","University Entrance","Maori","2018","0","0.003","0.002","31","29","12183",""
"12","University Entrance","Maori","2019","0","0.003","0.003","34","32","12044",""
"12","University Entrance","Maori","2020","0","0.003","0.003","38","37","12457",""
"12","University Entrance","Maori","2021","0","0.003","0.002","33","32","12953",""
"12","University Entrance","Maori","2022","0","0.004","0.004","57","54","13312",""
"12","University Entrance","Maori","2023","0","0.003","0.003","46","37","13607",""
"12","University Entrance","Maori","2024","0","0.003","0.003","46","42","14324",""
"12","University Entrance","Pacific Peoples","2015","0","0.001","0.001","9","8","6383",""
"12","University Entrance","Pacific Peoples","2016","0","0.001","0.001","7","7","6683",""
"12","University Entrance","Pacific Peoples","2017","0","0","0","0","0","6894",""
"12","University Entrance","Pacific Peoples","2018","0","0.001","0","4","3","6874",""
"12","University Entrance","Pacific Peoples","2019","0","0.001","0.001","5","5","6770",""
"12","University Entrance","Pacific Peoples","2020","0","0.001","0.001","9","9","6954",""
"12","University Entrance","Pacific Peoples","2021","0","0.001","0.001","7","7","7137",""
"12","University Entrance","Pacific Peoples","2022","0","0.001","0.001","6","6","7296",""
"12","University Entrance","Pacific Peoples","2023","0","0.001","0.001","11","9","7559",""
"12","University Entrance","Pacific Peoples","2024","0","0.001","0.001","11","11","8212",""
"12","University Entrance","Asian","2015","0","0.012","0.011","77","74","6449",""
"12","University Entrance","Asian","2016","0","0.013","0.013","90","89","6921",""
"12","University Entrance","Asian","2017","0","0.011","0.011","78","77","7086",""
"12","University Entrance","Asian","2018","0","0.01","0.01","71","68","6847",""
"12","University Entrance","Asian","2019","0","0.011","0.011","84","84","7553",""
"12","University Entrance","Asian","2020","0","0.012","0.012","96","95","7721",""
"12","University Entrance","Asian","2021","0","0.017","0.017","143","138","8191",""
"12","University Entrance","Asian","2022","0","0.012","0.012","101","99","8279",""
"12","University Entrance","Asian","2023","0","0.01","0.01","98","95","9815",""
"12","University Entrance","Asian","2024","0","0.008","0.008","92","91","11689",""
"12","University Entrance","Middle Eastern/Latin American/African","2015","0","0.002","0.002","2","2","1041",""
"12","University Entrance","Middle Eastern/Latin American/African","2016","0","0.006","0.006","7","7","1094",""
"12","University Entrance","Middle Eastern/Latin American/African","2017","0","0.003","0.003","4","4","1156",""
"12","University Entrance","Middle Eastern/Latin American/African","2018","0","0.005","0.005","5","5","1101",""
"12","University Entrance","Middle Eastern/Latin American/African","2019","0","0.003","0.003","3","3","1145",""
"12","University Entrance","Middle Eastern/Latin American/African","2020","0","0.003","0.003","4","4","1228",""
"12","University Entrance","Middle Eastern/Latin American/African","2021","0","0.008","0.008","11","11","1334",""
"12","University Entrance","Middle Eastern/Latin American/African","2022","0","0.005","0.005","7","7","1376",""
"12","University Entrance","Middle Eastern/Latin American/African","2023","0","0.005","0.005","8","8","1506",""
"12","University Entrance","Middle Eastern/Latin American/African","2024","0","0.005","0.004","8","7","1643",""
"12","University Entrance","European","2015","0","0.006","0.005","199","194","35501",""
"12","University Entrance","European","2016","0","0.007","0.007","248","243","36470",""
"12","University Entrance","European","2017","0","0.005","0.005","174","171","36358",""
"12","University Entrance","European","2018","0","0.005","0.005","183","177","35685",""
"12","University Entrance","European","2019","0","0.005","0.005","176","172","35383",""
"12","University Entrance","European","2020","0","0.006","0.006","212","207","36378",""
"12","University Entrance","European","2021","0","0.005","0.005","194","188","36301",""
"12","University Entrance","European","2022","0","0.006","0.006","207","203","36658",""
"12","University Entrance","European","2023","0","0.005","0.005","181","177","38113",""
"12","University Entrance","European","2024","0","0.005","0.004","183","177","39398",""
"13","NCEA Level 2","Maori","2015","0","0.836","0.113","7885","1064","9436",""
"13","NCEA Level 2","Maori","2016","0","0.851","0.101","8125","960","9547",""
"13","NCEA Level 2","Maori","2017","0","0.872","0.089","8622","884","9887",""
"13","NCEA Level 2","Maori","2018","0","0.871","0.077","8491","747","9743",""
"13","NCEA Level 2","Maori","2019","0","0.874","0.092","8063","848","9225",""
"13","NCEA Level 2","Maori","2020","0","0.864","0.086","7970","795","9220",""
"13","NCEA Level 2","Maori","2021","0","0.86","0.065","8302","632","9651",""
"13","NCEA Level 2","Maori","2022","0","0.85","0.064","7949","595","9357",""
"13","NCEA Level 2","Maori","2023","0","0.839","0.072","7836","673","9345",""
"13","NCEA Level 2","Maori","2024","0","0.834","0.087","8413","882","10089",""
"13","NCEA Level 2","Pacific Peoples","2015","0","0.88","0.152","4981","860","5663",""
"13","NCEA Level 2","Pacific Peoples","2016","0","0.891","0.135","5083","771","5707",""
"13","NCEA Level 2","Pacific Peoples","2017","0","0.899","0.103","5268","604","5857",""
"13","NCEA Level 2","Pacific Peoples","2018","0","0.904","0.107","5379","638","5949",""
"13","NCEA Level 2","Pacific Peoples","2019","0","0.904","0.111","5304","652","5867",""
"13","NCEA Level 2","Pacific Peoples","2020","0","0.912","0.124","5322","725","5838",""
"13","NCEA Level 2","Pacific Peoples","2021","0","0.905","0.084","5591","517","6176",""
"13","NCEA Level 2","Pacific Peoples","2022","0","0.881","0.095","5326","574","6047",""
"13","NCEA Level 2","Pacific Peoples","2023","0","0.876","0.104","5313","633","6067",""
"13","NCEA Level 2","Pacific Peoples","2024","0","0.862","0.133","5576","861","6471",""
"13","NCEA Level 2","Asian","2015","0","0.813","0.067","5209","427","6404",""
"13","NCEA Level 2","Asian","2016","0","0.832","0.077","5305","489","6379",""
"13","NCEA Level 2","Asian","2017","0","0.834","0.054","5658","366","6785",""
"13","NCEA Level 2","Asian","2018","0","0.837","0.059","5776","406","6900",""
"13","NCEA Level 2","Asian","2019","0","0.843","0.065","5612","436","6658",""
"13","NCEA Level 2","Asian","2020","0","0.869","0.069","6329","506","7284",""
"13","NCEA Level 2","Asian","2021","0","0.86","0.048","6489","359","7541",""
"13","NCEA Level 2","Asian","2022","0","0.863","0.041","6838","326","7921",""
"13","NCEA Level 2","Asian","2023","0","0.827","0.071","6730","579","8133",""
"13","NCEA Level 2","Asian","2024","0","0.806","0.109","7898","1064","9799",""
"13","NCEA Level 2","Middle Eastern/Latin American/African","2015","0","0.88","0.091","847","88","963",""
"13","NCEA Level 2","Middle Eastern/Latin American/African","2016","0","0.842","0.096","832","95","988",""
"13","NCEA Level 2","Middle Eastern/Latin American/African","2017","0","0.865","0.089","897","92","1037",""
"13","NCEA Level 2","Middle Eastern/Latin American/African","2018","0","0.89","0.106","941","112","1057",""
"13","NCEA Level 2","Middle Eastern/Latin American/African","2019","0","0.882","0.092","904","94","1025",""
"13","NCEA Level 2","Middle Eastern/Latin American/African","2020","0","0.884","0.129","957","140","1083",""
"13","NCEA Level 2","Middle Eastern/Latin American/African","2021","0","0.879","0.08","1003","91","1141",""
"13","NCEA Level 2","Middle Eastern/Latin American/African","2022","0","0.85","0.061","1049","75","1234",""
"13","NCEA Level 2","Middle Eastern/Latin American/African","2023","0","0.847","0.092","1036","112","1223",""
"13","NCEA Level 2","Middle Eastern/Latin American/African","2024","0","0.832","0.116","1146","160","1378",""
"13","NCEA Level 2","European","2015","0","0.898","0.055","28006","1716","31172",""
